Date;Platform;Users;Profiled Mentors;Profiled Mentees;Total Profiled;Total Non-Profiled;Mentees Who Initiated Relationship;Mentors Currently in Relationship;Mentors Completed Relationship;Mentors Ever in Relationship;Mentees Currently in Relationship;Mentees Completed Relationship;Mentees Ever in Relationship;No: of Active Relationships;No: of Completed Relationships;Total no. of Request Initiated;Current no. of Requests Pending;Current no. of Requests Accepted;Current no. of Requests Completed;Current no. of Requests Expired;Current no. of Requests Declined;Current no. of Requests Removed;No: of Roundtable;No: of Roundtable Users;No: of Roundtable Posts;No: of Insights;Insight Comments;Connections (Followers and Being Followed);Total Messages;Message Posts;Meetings (Upcoming);Meetings (Completed);Meetings (Deleted);Meetings (Total);Profiled;Mentees who initiated a Request;Mentors in an Active Relationship;Mentees in an Active Relationship;Mentors Completed Relationship;Mentees Completed Relationship;Mentors in either Active or Completed Relationship;Mentees in either Active or Completed Relationship;Number of Active Relationships;Number of Completed Relationships;;;;;;;
5/25/20;Company_12;18;11;7;13;5;2;0;2;2;0;1;1;0;2;;;;;;;;0;0;;0;0;0.00%;0;0;0;0;0;0;72.22%;28.57%;0.00%;0.00%;18.18%;14.29%;18.18%;14.29%;0;2;;;;;;;
5/25/20;Company_14;2394;75;76;126;2268;20;24;13;33;23;13;33;26;15;;;;;;;;18;37;;31;2;52;0;0;0;0;0;0;5.26%;26.32%;32.00%;30.26%;17.33%;17.11%;44.00%;43.42%;26;15;;;;;;;
5/25/20;Company_15;799;432;583;729;70;93;76;59;132;75;56;126;81;61;;;;;;;;3;5;;44;9;291;0;0;0;0;0;0;91.24%;15.95%;17.59%;12.86%;13.66%;9.61%;30.56%;21.61%;81;61;;;;;;;
5/25/20;Company_18;91;50;9;68;23;0;0;0;0;0;0;0;0;0;;;;;;;;6;25;;14;2;83;0;0;0;0;0;0;74.73%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_19;4;3;3;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;100.00%;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_22;225;130;116;142;83;29;4;31;34;5;30;30;5;75;;;;;;;;37;38;;150;53;21100.00%;0;0;0;0;0;0;63.11%;25.00%;3.08%;4.31%;23.85%;25.86%;26.15%;25.86%;5;75;;;;;;;
5/25/20;Company_25;3;1;2;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;9;0;0.00%;0;0;0;0;0;0;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/25/20;Company_26;2845;1433;1726;2203;642;411;62;233;277;59;288;338;74;413;;;;;;;;18;313;;162;70;1687;0;0;0;0;0;0;77.43%;23.81%;4.33%;3.42%;16.26%;16.69%;19.33%;19.58%;74;413;;;;;;;
5/25/20;Company_27;391;61;323;380;11;97;2;39;40;2;80;82;2;91;;;;;;;;1;4;;6;1;132;0;0;0;0;0;0;97.19%;30.03%;3.28%;0.62%;63.93%;24.77%;65.57%;25.39%;2;91;;;;;;;
5/25/20;Company_28;472;263;217;284;188;17;2;8;10;2;8;10;2;8;;;;;;;;2;13;;42;7;151;0;0;0;0;0;0;60.17%;7.83%;0.76%;0.92%;3.04%;3.69%;3.80%;4.61%;2;8;;;;;;;
